                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.250000       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -4.97684845255856e-03
 9.75634606237901e-01 -1.41719143961520e-03
 9.51245615935355e-01  1.24799450075544e-03
 9.26823937255598e-01  2.93901147467525e-03
 9.02417851196690e-01  3.78058569825912e-03
 8.78097542011427e-01  3.55212175711327e-03
 8.53928970069412e-01  2.46032731702615e-03
 8.29967224074601e-01  4.07969484009998e-04
 8.06263879164435e-01 -2.49711305015321e-03
 7.82869365811962e-01 -6.18645772853647e-03
 7.59843803813853e-01 -1.06739454253001e-02
 7.37205283490922e-01 -1.58342783518297e-02
 7.14966020938908e-01 -2.15686321655827e-02
 6.93131199143703e-01 -2.77175113052131e-02
 6.71694957841504e-01 -3.41754522402199e-02
 6.50658643429786e-01 -4.08743901760202e-02
 6.29988142691324e-01 -4.76298711273722e-02
 6.09677392346672e-01 -5.43822282538447e-02
 5.89705071386004e-01 -6.10208018041679e-02
 5.70056335418629e-01 -6.74578657514209e-02
 5.50724137509804e-01 -7.36437026684396e-02
 5.31697536585447e-01 -7.94876922465622e-02
 5.12981216094895e-01 -8.49932679299187e-02
 4.94570172219252e-01 -9.00598983853498e-02
 4.76471272157695e-01 -9.47236600920631e-02
 4.58691514020757e-01 -9.88861588549084e-02
 4.41236453025433e-01 -1.02609589095615e-01
 4.24127776061809e-01 -1.05835525594222e-01
 4.07371649734545e-01 -1.08651988022318e-01
 3.90986562566106e-01 -1.10993572397937e-01
 3.74978231069369e-01 -1.12772302335796e-01
 3.59359524315076e-01 -1.14095515719396e-01
 3.44139622810790e-01 -1.15081649965733e-01
 3.29321254896577e-01 -1.15762419693606e-01
 3.14917201350626e-01 -1.15909186190963e-01
 3.00921917938698e-01 -1.15943556264190e-01
 2.87347171725148e-01 -1.15849856120656e-01
 2.74186005136954e-01 -1.15330052627062e-01
 2.61441568779779e-01 -1.14565159554849e-01
 2.49113910471589e-01 -1.13676028035618e-01
 2.37193877652875e-01 -1.12503969249319e-01
 2.25686443409792e-01 -1.11208181517520e-01
 2.14579650939818e-01 -1.09728159532243e-01
 2.03870649156588e-01 -1.08083067468385e-01
 1.93558668477896e-01 -1.06341089308629e-01
 1.83628259251025e-01 -1.04446100157221e-01
 1.74077666529597e-01 -1.02447671039785e-01
 1.64900802966972e-01 -1.00378189084864e-01
 1.56082078534183e-01 -9.82046942581310e-02
 1.47619041070370e-01 -9.59684215862079e-02
 1.39503769128650e-01 -9.36879960558842e-02
 1.31720121644547e-01 -9.13435903133183e-02
 1.24264200320147e-01 -8.89643364123893e-02
 1.17128845560227e-01 -8.65691973867655e-02
 1.10297032788734e-01 -8.41410086183093e-02
 1.03762746224768e-01 -8.16980581747680e-02
 9.75200977275448e-02 -7.92605322331328e-02
 9.15529053718392e-02 -7.68206025187693e-02
 8.58524221033756e-02 -7.43818440748294e-02
 8.04141363204067e-02 -7.19580175216929e-02
 7.52289348686811e-02 -6.95551623101881e-02
 7.02805553024933e-02 -6.71692986890049e-02
 6.55648387000505e-02 -6.48042627119965e-02
 6.10774230980222e-02 -6.24686180140580e-02
 5.68062853376517e-02 -6.01628196540754e-02
 5.27379811932701e-02 -5.78833288469131e-02
 4.88705253673858e-02 -5.56350705460193e-02
 4.52006777862902e-02 -5.34223667274644e-02
 4.17154929450503e-02 -5.12461752092095e-02
 3.84011037233253e-02 -4.91040358839645e-02
 3.52598946328217e-02 -4.69959852393773e-02
 3.22922487819080e-02 -4.49225589600086e-02
 2.94903777144426e-02 -4.28840561807043e-02
 2.68319042911545e-02 -4.08795406389756e-02
 2.43212512861677e-02 -3.89085268540898e-02
 2.19625847416238e-02 -3.69708900061991e-02
 1.97570206283407e-02 -3.50669101630681e-02
 1.76747494263286e-02 -3.31970267283992e-02
 1.57112017636920e-02 -3.13600590381800e-02
 1.38809582227332e-02 -2.95541101644560e-02
 1.21936840684931e-02 -2.77777796275151e-02
 1.06478422172716e-02 -2.60303063746825e-02
 9.19643337322355e-03 -2.43083925238005e-02
 7.84951862939063e-03 -2.26139299896699e-02
 6.62481075688121e-03 -2.09507006053999e-02
 5.53425620474518e-03 -1.93216312136225e-02
 4.56419202507929e-03 -1.77265393350733e-02
 3.62091084133761e-03 -1.61524591319711e-02
 2.75770785418787e-03 -1.45751572652424e-02
 2.03503900314803e-03 -1.30357960930149e-02
 1.49718956685896e-03 -1.15387109985454e-02
 1.16236850821146e-03 -1.00855800779938e-02
 8.95966276000930e-04 -8.66309326471219e-03
 6.60110761093560e-04 -7.27533632425812e-03
 4.58340114605602e-04 -5.93013166510451e-03
 2.92626730585827e-04 -4.63330410951932e-03
 1.64078210851802e-04 -3.38901725138635e-03
 7.28926569569648e-05 -2.20005061872997e-03
 1.85560478187477e-05 -1.07107980663955e-03
 0.00000000000000e+00  0.00000000000000e+00
 3.28000398932954e-05  1.06722660964389e-03
 1.30956961527290e-04  2.12221753018908e-03
 2.95122708683065e-04  3.24726992742703e-03
 5.15142663038878e-04  4.44387419166231e-03
 7.80863099733736e-04  5.69645433176243e-03
 1.07849232342070e-03  7.00001439925435e-03
 1.38142339630315e-03  8.34818932043784e-03
 1.74834025384736e-03  9.75093105202589e-03
 2.19527670440787e-03  1.12095493810839e-02
 2.72082982404814e-03  1.27216317731553e-02
 3.32156202494467e-03  1.42841160033829e-02
 3.99153864435451e-03  1.58930812585968e-02
 4.72176483495108e-03  1.75434606466030e-02
 5.51676530695143e-03  1.92313368317553e-02
 6.43757415037387e-03  2.09648381579614e-02
 7.48565582135426e-03  2.27450646923700e-02
 8.65078454406438e-03  2.45709308189397e-02
 9.91759568110952e-03  2.64408072293768e-02
 1.12645136056825e-02  2.83528615153707e-02
 1.27089350202570e-02  3.03099052945680e-02
 1.42893314300782e-02  3.23144633934834e-02
 1.60037882045714e-02  3.43635087057553e-02
 1.78476320402094e-02  3.64533183266140e-02
 1.98128444523104e-02  3.85786857458311e-02
 2.19123303622940e-02  4.07392882212497e-02
 2.41763480820293e-02  4.29398693122210e-02
 2.66020696459295e-02  4.51783341776497e-02
 2.91830906091030e-02  4.74523227458100e-02
 3.19108080810551e-02  4.97594594765902e-02
 3.48111844022543e-02  5.21034408312111e-02
 3.78975358577987e-02  5.44830660284786e-02
 4.11685126070252e-02  5.68938694454172e-02
 4.46200054264650e-02  5.93295766865045e-02
 4.82650011335859e-02  6.17916667307105e-02
 5.21237221558173e-02  6.42824565297590e-02
 5.61962258363921e-02  6.67959351359018e-02
 6.04800260777826e-02  6.93250895860172e-02
 6.49878572128095e-02  7.18712843301569e-02
 6.97379122673421e-02  7.44351199333214e-02
 7.47311642305465e-02  7.70077625314520e-02
 7.99672084549169e-02  7.95795823856853e-02
 8.54648401145324e-02  8.21585573427550e-02
 9.12347318566970e-02  8.47379030419289e-02
 9.72785807076130e-02  8.73013485486722e-02
 1.03603877261967e-01  8.98420642400682e-02
 1.10229981394606e-01  9.23697842476257e-02
 1.17159051476230e-01  9.48657285484853e-02
 1.24392941464903e-01  9.73137110009436e-02
 1.31950821945735e-01  9.97312484302352e-02
 1.39838716547711e-01  1.02096275302013e-01
 1.48058563543514e-01  1.04378699568949e-01
 1.56627770215470e-01  1.06602731438884e-01
 1.65552000616063e-01  1.08745353824465e-01
 1.74831424458076e-01  1.10769560179363e-01
 1.84482452746547e-01  1.12708633588651e-01
 1.94508724257051e-01  1.14527101228564e-01
 2.04911081832984e-01  1.16185444270911e-01
 2.15704699790318e-01  1.17734217577187e-01
 2.26888021829240e-01  1.19105189021062e-01
 2.38464733541154e-01  1.20304361904567e-01
 2.50444773284501e-01  1.21362262950167e-01
 2.62823494940819e-01  1.22142895721726e-01
 2.75610394104028e-01  1.22810380855480e-01
 2.88803944153871e-01  1.23208447685163e-01
 3.02402927592899e-01  1.23245872565878e-01
 3.16412901109708e-01  1.23207135148504e-01
 3.30827311791196e-01  1.23064765603606e-01
 3.45650573183792e-01  1.22488303080534e-01
 3.60878016278822e-01  1.21718820759440e-01
 3.76509389309460e-01  1.20579098734036e-01
 3.92542573267597e-01  1.19182174569970e-01
 4.08974261770852e-01  1.17550938528045e-01
 4.25802330692054e-01  1.15653552265406e-01
 4.43022010983657e-01  1.13527472465768e-01
 4.60629633091640e-01  1.11140387888065e-01
 4.78619328877791e-01  1.08525401109477e-01
 4.96985923144530e-01  1.05661545220595e-01
 5.15723951586315e-01  1.02583099270195e-01
 5.34825862901544e-01  9.92765858309965e-02
 5.54284003011165e-01  9.57619963468251e-02
 5.74089426251567e-01  9.20382333232904e-02
 5.94232074788969e-01  8.81139317453321e-02
 6.14702764546434e-01  8.40039214114356e-02
 6.35489253132764e-01  7.97111620142480e-02
 6.56584264021732e-01  7.52713217057317e-02
 6.77974649622711e-01  7.06915822310052e-02
 6.99649683821187e-01  6.59984440574561e-02
 7.21595389392018e-01  6.12055639999258e-02
 7.43796678146331e-01  5.63269092561777e-02
 7.66241584508847e-01  5.13947998841432e-02
 7.88913461371539e-01  4.64245355191101e-02
 8.11795270621495e-01  4.14336045975191e-02
