                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.250000       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -5.12192016748176e-03
 9.75634418044234e-01 -1.54840776090829e-03
 9.51245240629272e-01  1.12919269752627e-03
 9.26823368298409e-01  2.83230327932244e-03
 9.02417082577302e-01  3.68376181900471e-03
 8.78096573479228e-01  3.45692789372886e-03
 8.53927807172503e-01  2.37035824868541e-03
 8.29965876782760e-01  3.40586718943828e-04
 8.06262362168593e-01 -2.52283665533582e-03
 7.82867698917559e-01 -6.21576694608214e-03
 7.59842018985204e-01 -1.07081712375911e-02
 7.37203411171373e-01 -1.58747912341249e-02
 7.14964089118039e-01 -2.16167991732619e-02
 6.93129230055732e-01 -2.77739275827900e-02
 6.71692966861752e-01 -3.42404430988690e-02
 6.50656642015890e-01 -4.09481642101897e-02
 6.29986129796343e-01 -4.77122303328408e-02
 6.09675365122766e-01 -5.44730818266807e-02
 5.89703020925410e-01 -6.11199215902000e-02
 5.70054249799066e-01 -6.75649553696083e-02
 5.50722004318959e-01 -7.37585564740581e-02
 5.31695339728896e-01 -7.96098346145318e-02
 5.12978943120698e-01 -8.51225410089660e-02
 4.94567808854519e-01 -9.01957655961942e-02
 4.76468810626352e-01 -9.48662792572617e-02
 4.58688949500333e-01 -9.90354342111002e-02
 4.41233781309422e-01 -1.02765945518062e-01
 4.24124997071203e-01 -1.05998999624362e-01
 4.07368760622600e-01 -1.08822868303658e-01
 3.90983563593911e-01 -1.11171664068287e-01
 3.74975120135770e-01 -1.13090224556550e-01
 3.59356301844072e-01 -1.14576711628143e-01
 3.44136289782472e-01 -1.15706451204013e-01
 3.29317811418953e-01 -1.16512448836951e-01
 3.14913651039419e-01 -1.16778351487851e-01
 3.00918261479537e-01 -1.16910719431678e-01
 2.87343414191385e-01 -1.16900505828129e-01
 2.74182149046892e-01 -1.16457160453703e-01
 2.61437618919386e-01 -1.15758384771568e-01
 2.49109873119643e-01 -1.14925650705984e-01
 2.37189757032703e-01 -1.13801725326620e-01
 2.25682247666428e-01 -1.12545816507208e-01
 2.14575385850128e-01 -1.11098237389610e-01
 2.03866322174203e-01 -1.09478438611322e-01
 1.93554289260457e-01 -1.07755317814660e-01
 1.83623834040322e-01 -1.05872512926924e-01
 1.74073203884691e-01 -1.03881081830438e-01
 1.64896312325030e-01 -1.01813350199353e-01
 1.56077566741982e-01 -9.96361980701778e-02
 1.47614516847588e-01 -9.73915834928898e-02
 1.39499242095390e-01 -9.50991200296563e-02
 1.31715598705593e-01 -9.27376839931856e-02
 1.24259690369436e-01 -9.03375424352284e-02
 1.17124358550604e-01 -8.79183524138965e-02
 1.10292574452718e-01 -8.54624720499840e-02
 1.03758323098809e-01 -8.29893161769625e-02
 9.75157180968602e-02 -8.05196948983918e-02
 9.15485749084178e-02 -7.80452340869640e-02
 8.58481461248064e-02 -7.55697690247127e-02
 8.04099217589767e-02 -7.31076518913395e-02
 7.52247881605256e-02 -7.06652951344661e-02
 7.02764788286023e-02 -6.82348298231532e-02
 6.55608369617212e-02 -6.58245945636239e-02
 6.10735022329028e-02 -6.34433296363657e-02
 5.68024497902531e-02 -6.10917609106961e-02
 5.27342326063968e-02 -5.87659551093727e-02
 4.88668677143705e-02 -5.64713429362167e-02
 4.51971157107227e-02 -5.42126801739363e-02
 4.17120288661100e-02 -5.19912104462162e-02
 3.83977367588811e-02 -4.98040592589804e-02
 3.52566276884644e-02 -4.76514853646083e-02
 3.22890868620652e-02 -4.55340884953222e-02
 2.94873251927533e-02 -4.34523004011838e-02
 2.68289583369468e-02 -4.14051433907637e-02
 2.43184131235270e-02 -3.93921401709873e-02
 2.19598596062890e-02 -3.74132333624618e-02
 1.97544158765336e-02 -3.54686776163850e-02
 1.76722624463296e-02 -3.35590102850270e-02
 1.57088299984586e-02 -3.16827367926434e-02
 1.38787064933135e-02 -2.98380319346614e-02
 1.21915621208545e-02 -2.80236950660212e-02
 1.06458610935520e-02 -2.62385972353720e-02
 9.19458637383585e-03 -2.44791735231108e-02
 7.84780159676714e-03 -2.27483258838721e-02
 6.62322917349982e-03 -2.10499012185527e-02
 5.53282279726294e-03 -1.93869984833323e-02
 4.56291228173122e-03 -1.77599184560247e-02
 3.61927754710284e-03 -1.61589243027801e-02
 2.75552768409136e-03 -1.45815182522884e-02
 2.03260546574275e-03 -1.30420652535195e-02
 1.49503819324994e-03 -1.15449021610779e-02
 1.16098155972835e-03 -1.00917081308173e-02
 8.95298803877862e-04 -8.66916550467760e-03
 6.59815854226676e-04 -7.28136077404074e-03
 4.58148124452177e-04 -5.93611670674908e-03
 2.92512719661934e-04 -4.63925955905180e-03
 1.64016682428227e-04 -3.39495035004890e-03
 7.28646878756846e-05 -2.20596871858419e-03
 1.85474342387220e-05 -1.07413841010380e-03
 0.00000000000000e+00  0.00000000000000e+00
 3.31491771970135e-05  1.07025550182651e-03
 1.34410969280816e-04  2.17462488399999e-03
 2.99922525937006e-04  3.33495283751549e-03
 5.20912005754507e-04  4.55091077969068e-03
 7.85741638643443e-04  5.81690369815020e-03
 1.07848875518914e-03  7.12913266888713e-03
 1.38136715036464e-03  8.48470642326401e-03
 1.74823259583828e-03  9.89486954201497e-03
 2.19511970180812e-03  1.13617557378878e-02
 2.72062020595019e-03  1.28832548980739e-02
 3.32129604524991e-03  1.44563073432213e-02
 3.99120703294994e-03  1.60766976629868e-02
 4.72135664429820e-03  1.77388033799875e-02
 5.51626767727215e-03  1.94386633914822e-02
 6.43699582145411e-03  2.11854836028177e-02
 7.48500974619553e-03  2.29799582685936e-02
 8.65007689510546e-03  2.48209204478229e-02
 9.91682410545302e-03  2.67067564373334e-02
 1.12636659144684e-02  2.86354434973179e-02
 1.27080038274316e-02  3.06100115134537e-02
 1.42883236110336e-02  3.26335396185985e-02
 1.60027081935089e-02  3.47026075944357e-02
 1.78464809303951e-02  3.68129089540397e-02
 1.98116181540398e-02  3.89589470284100e-02
 2.19110275323089e-02  4.11402301631144e-02
 2.41749797122657e-02  4.33616947674488e-02
 2.66006426591222e-02  4.56211613497565e-02
 2.91816067066332e-02  4.79161071486960e-02
 3.19092633802327e-02  5.02440531165071e-02
 3.48095827927201e-02  5.26089704040458e-02
 3.78958855107083e-02  5.50095029785860e-02
 4.11668178920594e-02  5.74406695180348e-02
 4.46182655578788e-02  5.98964124828863e-02
 4.82632175218502e-02  6.23780904406896e-02
 5.21219033843097e-02  6.48881703283229e-02
 5.61943769356387e-02  6.74200720226362e-02
 6.04781491106233e-02  6.99661792472643e-02
 6.49859553017275e-02  7.25282544036999e-02
 6.97359916653228e-02  7.51079809771470e-02
 7.47292284948907e-02  7.76954496739388e-02
 7.99652593273531e-02  8.02801563489505e-02
 8.54628827192413e-02  8.28710194424376e-02
 9.12327720187128e-02  8.54614678158145e-02
 9.72766214715839e-02  8.80337257652361e-02
 1.03601922661928e-01  9.05804048318115e-02
 1.10228038708650e-01  9.31127362276771e-02
 1.17157124312454e-01  9.56114293481871e-02
 1.24391031075545e-01  9.80592820660913e-02
 1.31948933762590e-01  1.00475243127832e-01
 1.39836855324335e-01  1.02836423198735e-01
 1.48056730591410e-01  1.05110748741794e-01
 1.56625970579737e-01  1.07322767015356e-01
 1.65550237756365e-01  1.09450597497698e-01
 1.74829699233357e-01  1.11455694756338e-01
 1.84480768800241e-01  1.13374451674471e-01
 1.94507082960884e-01  1.15169912015298e-01
 2.04909483078463e-01  1.16800980781657e-01
 2.15703146403735e-01  1.18321709570855e-01
 2.26886513032502e-01  1.19661223643848e-01
 2.38463267890996e-01  1.20826596245380e-01
 2.50443351172524e-01  1.21850218004856e-01
 2.62822113349087e-01  1.22592687886100e-01
 2.75609052953038e-01  1.23221172744611e-01
 2.88802642187014e-01  1.23575999766493e-01
 3.02401662872797e-01  1.23566695746554e-01
 3.16411674361383e-01  1.23476298163603e-01
 3.30826121695292e-01  1.23266896990230e-01
 3.45649421132094e-01  1.22616513599494e-01
 3.60876902315637e-01  1.21759338793452e-01
 3.76508314320616e-01  1.20616741391544e-01
 3.92541538762194e-01  1.19217334569980e-01
 4.08973268939633e-01  1.17584100836260e-01
 4.25801380734972e-01  1.15684891296712e-01
 4.43021105197203e-01  1.13557483188750e-01
 4.60628772995958e-01  1.11169309879608e-01
 4.78618515657046e-01  1.08553631043249e-01
 4.96985157271291e-01  1.05689244829669e-01
 5.15723234236157e-01  1.02610623641430e-01
 5.34825195179347e-01  9.93041567202595e-02
 5.54283384838340e-01  9.57898131116767e-02
 5.74088857388052e-01  9.20664356612996e-02
 5.94231556694343e-01  8.81428638407024e-02
 6.14702298678281e-01  8.40338678767976e-02
 6.35488839924278e-01  7.97423604431709e-02
 6.56583902249835e-01  7.53037916274724e-02
 6.77974337690314e-01  7.07253200707022e-02
 6.99649420022694e-01  6.60334107561160e-02
 7.21595171136453e-01  6.12416491344542e-02
 7.43796501996094e-01  5.63639315679276e-02
 7.66241447471041e-01  5.14325284743610e-02
 7.88913358591148e-01  4.64625829892718e-02
 8.11795197088635e-01  4.14715632948118e-02
