                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.250000       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -5.92931683537171e-03
 9.79339424363081e-01 -2.58363038084354e-03
 9.58622453357607e-01  2.50159982415249e-05
 9.37849734755666e-01  1.87280798498271e-03
 9.17062872192466e-01  2.98158015001234e-03
 8.96306306365187e-01  3.22918423132864e-03
 8.75629301231025e-01  2.62521226735367e-03
 8.55076145476260e-01  1.22493695032110e-03
 8.34683609352172e-01 -8.75528140140077e-04
 8.14483065472372e-01 -3.54202199102254e-03
 7.94509140786440e-01 -6.86376916011874e-03
 7.74794661390996e-01 -1.09013457254532e-02
 7.55370710280294e-01 -1.55522392044076e-02
 7.36238056411637e-01 -2.06760378338801e-02
 7.17391881926828e-01 -2.61709992792083e-02
 6.98836801771955e-01 -3.19797937837704e-02
 6.80562828967688e-01 -3.80185724555866e-02
 6.62566313904245e-01 -4.42263561207227e-02
 6.44833568213195e-01 -5.05280394067207e-02
 6.27347227322221e-01 -5.68403044428068e-02
 6.10097116036646e-01 -6.31103235995095e-02
 5.93067069376107e-01 -6.92665788379865e-02
 5.76251639346393e-01 -7.52733346794600e-02
 5.59635219465041e-01 -8.10596923142861e-02
 5.43216490765574e-01 -8.66035408537040e-02
 5.26991511268703e-01 -9.18567807327708e-02
 5.10960743462515e-01 -9.68029411888428e-02
 4.95128271031943e-01 -1.01408552246690e-01
 4.79493318222655e-01 -1.05644037404638e-01
 4.64063950776596e-01 -1.09457304183421e-01
 4.48848249575739e-01 -1.13187920921107e-01
 4.33851603461213e-01 -1.16666205806302e-01
 4.19085613494805e-01 -1.19803348934906e-01
 4.04555691864238e-01 -1.22589563345362e-01
 3.90276300083836e-01 -1.25052087160805e-01
 3.76247298243828e-01 -1.27174869827153e-01
 3.62482228791149e-01 -1.28797904169984e-01
 3.48984719837514e-01 -1.30037385910058e-01
 3.35760713354534e-01 -1.30994222995426e-01
 3.22817688327188e-01 -1.31684742902675e-01
 3.10158604727816e-01 -1.32104059161971e-01
 2.97788430540106e-01 -1.32271282668746e-01
 2.85709728347990e-01 -1.32189083111204e-01
 2.73925393839896e-01 -1.31876429303900e-01
 2.62437448879638e-01 -1.31343156695153e-01
 2.51246824211730e-01 -1.30585785295688e-01
 2.40353828361218e-01 -1.29647412779240e-01
 2.29759400210518e-01 -1.28519720374726e-01
 2.19461867869026e-01 -1.27210425370382e-01
 2.09461969527750e-01 -1.25727684581159e-01
 1.99756236691607e-01 -1.24107270107425e-01
 1.90344674402613e-01 -1.22331396750336e-01
 1.81224658077314e-01 -1.20412076384663e-01
 1.72393699459150e-01 -1.18364717116426e-01
 1.63849472601313e-01 -1.16205432082428e-01
 1.55587904993793e-01 -1.13935739889711e-01
 1.47604045921791e-01 -1.11572215502562e-01
 1.39893829642459e-01 -1.09128135776893e-01
 1.32452497978930e-01 -1.06606776765760e-01
 1.25278383698023e-01 -1.04009575257905e-01
 1.18363561919956e-01 -1.01359493993661e-01
 1.11702536638447e-01 -9.86584046917708e-02
 1.05292332485400e-01 -9.59074270562675e-02
 9.91255684163849e-02 -9.31256314597871e-02
 9.31971550483370e-02 -9.03137417578714e-02
 8.74957416920261e-02 -8.74871477090428e-02
 8.20237810900174e-02 -8.46408825627230e-02
 7.67736546030784e-02 -8.17825065960478e-02
 7.17352096217782e-02 -7.89221315426692e-02
 6.69089949122528e-02 -7.60552529035553e-02
 6.22866814289568e-02 -7.31923100099503e-02
 5.78627199023893e-02 -7.03352565750436e-02
 5.36369846337733e-02 -6.74814981868420e-02
 4.95973247890069e-02 -6.46435941336298e-02
 4.57345285493886e-02 -6.18269759061037e-02
 4.20329915570316e-02 -5.90520515896932e-02
 3.84986471744922e-02 -5.63079077330298e-02
 3.51301287124373e-02 -5.35838982552846e-02
 3.19265627101266e-02 -5.08808383301082e-02
 2.88832135829479e-02 -4.81999524048305e-02
 2.60051031842066e-02 -4.55395118581256e-02
 2.32817155829423e-02 -4.28999287712898e-02
 2.07163598015123e-02 -4.02802713083238e-02
 1.83006611085407e-02 -3.76806431203870e-02
 1.60351844472404e-02 -3.51053502258651e-02
 1.39107601764274e-02 -3.25623514304799e-02
 1.19275838364987e-02 -3.00467538814780e-02
 1.01122864879957e-02 -2.75430263057445e-02
 8.43868586019905e-03 -2.50598933021256e-02
 6.92851896680028e-03 -2.26012274069608e-02
 5.57396193074863e-03 -2.01740040618546e-02
 4.34642815407735e-03 -1.77771468178748e-02
 3.29330084454809e-03 -1.54122869715367e-02
 2.37992847020914e-03 -1.30775809121244e-02
 1.55091150420195e-03 -1.07741068163841e-02
 9.35710375992062e-04 -8.51617008062816e-03
 5.68214484717713e-04 -6.30724853790655e-03
 2.68503374251980e-04 -4.13648719303617e-03
 6.72695801881580e-05 -2.02672266114792e-03
 0.00000000000000e+00  0.00000000000000e+00
 6.45987781957442e-05  2.02892751700019e-03
 2.28793044236997e-04  4.18409364553772e-03
 4.62623545766915e-04  6.36086518350834e-03
 7.56942857865336e-04  8.59377658380172e-03
 1.22054856616384e-03  1.08917372797115e-02
 1.81930174024929e-03  1.32477855383313e-02
 2.49474046857749e-03  1.56508540457882e-02
 3.32214162682371e-03  1.81083734990387e-02
 4.30265746686836e-03  2.06130151778773e-02
 5.40702335411287e-03  2.31507953584251e-02
 6.69281707452569e-03  2.57227557869643e-02
 8.12248252138707e-03  2.83296128373490e-02
 9.67815455847180e-03  3.09716993201018e-02
 1.13915414656792e-02  3.36459586287013e-02
 1.32477740278935e-02  3.63484107692672e-02
 1.52717223971941e-02  3.90791183696935e-02
 1.74529436928976e-02  4.18305061668265e-02
 1.98031090600686e-02  4.45994234642565e-02
 2.23141578117698e-02  4.73828089228093e-02
 2.50048512786650e-02  5.01703795373455e-02
 2.78405763251488e-02  5.30008734348151e-02
 3.08032326313962e-02  5.58960241593110e-02
 3.39317457825731e-02  5.88139529916776e-02
 3.72404223093432e-02  6.17444077668261e-02
 4.07392474204505e-02  6.46690766801393e-02
 4.44403298665701e-02  6.75889295293209e-02
 4.83327486802240e-02  7.05104080535261e-02
 5.24229470478423e-02  7.34259082004285e-02
 5.67164692198420e-02  7.63321316739125e-02
 6.12134109166883e-02  7.92308805182201e-02
 6.59213096015344e-02  8.21145541813550e-02
 7.08458128928936e-02  8.49790579457326e-02
 7.59843716966419e-02  8.78281343309916e-02
 8.13478574034159e-02  9.06428832424826e-02
 8.69405708365729e-02  9.34273120814308e-02
 9.27627492009929e-02  9.61834211171134e-02
 9.88250208440681e-02  9.88846769228002e-02
 1.05127188725601e-01  1.01539702189524e-01
 1.11675046459709e-01  1.04145577169801e-01
 1.18472943749763e-01  1.06686883576213e-01
 1.25525323290649e-01  1.09155368187901e-01
 1.32835761984249e-01  1.11554643704968e-01
 1.40407473231063e-01  1.13872365710237e-01
 1.48246996656651e-01  1.16088876444593e-01
 1.56356477955062e-01  1.18204842128031e-01
 1.64737619261915e-01  1.20213838751901e-01
 1.73392817029145e-01  1.22113416062033e-01
 1.82325744115376e-01  1.23893372165349e-01
 1.91539530106618e-01  1.25533421152739e-01
 2.01034413245077e-01  1.27031417753482e-01
 2.10813031810989e-01  1.28371110461872e-01
 2.20874788355306e-01  1.29579790614368e-01
 2.31220718262853e-01  1.30646946576503e-01
 2.41852455087105e-01  1.31535364093202e-01
 2.52770764699914e-01  1.32265781524027e-01
 2.63975625874741e-01  1.32826534376038e-01
 2.75466592787263e-01  1.33194844484852e-01
 2.87244245737991e-01  1.33401621203161e-01
 2.99307129614491e-01  1.33410703740182e-01
 3.11655199662240e-01  1.33244144278187e-01
 3.24287512838173e-01  1.32894002061498e-01
 3.37202288555556e-01  1.32343858670940e-01
 3.50398829049685e-01  1.31609267181621e-01
 3.63875462980791e-01  1.30683965861825e-01
 3.77630439873379e-01  1.29562057539175e-01
 3.91662140072518e-01  1.28266010148742e-01
 4.05967319828279e-01  1.26793878709016e-01
 4.20544161813472e-01  1.25040436647840e-01
 4.35388733789777e-01  1.23089864876136e-01
 4.50500257599863e-01  1.21108743825489e-01
 4.65872596965761e-01  1.18903238114700e-01
 4.81504017211076e-01  1.16518760755784e-01
 4.97389473169849e-01  1.13952033940610e-01
 5.13528314693952e-01  1.11233038688299e-01
 5.29913209103106e-01  1.08346293269700e-01
 5.46539756586409e-01  1.05302200920427e-01
 5.63404057248446e-01  1.02110079196758e-01
 5.80501096019945e-01  9.87796006767768e-02
 5.97821438613145e-01  9.52972244159708e-02
 6.15362242046176e-01  9.16870716564279e-02
 6.33115663463961e-01  8.79487620943853e-02
 6.51076441086433e-01  8.40976129948205e-02
 6.69234026417099e-01  8.01255688947527e-02
 6.87584816495006e-01  7.60593110812545e-02
 7.06118522327500e-01  7.18960840443478e-02
 7.24828161988906e-01  6.76505780801694e-02
 7.43705359742861e-01  6.33327343282296e-02
 7.62742781064861e-01  5.89591738802819e-02
 7.81931919373323e-01  5.45429999930878e-02
 8.01261051248831e-01  5.00842725134834e-02
 8.20722038150919e-01  4.56005154958359e-02
 8.40306697543203e-01  4.11102078664628e-02
