                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.250000       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -6.05671766296669e-03
 9.79938132406080e-01 -2.73836211795355e-03
 9.59813178912108e-01 -1.38508243430390e-04
 9.39627502929458e-01  1.72315494063919e-03
 9.19422955304694e-01  2.85940943791300e-03
 8.99241196434186e-01  3.16832986897258e-03
 8.79128615341500e-01  2.64400896406411e-03
 8.59128111437024e-01  1.34975485255080e-03
 8.39274352814999e-01 -6.33203805291820e-04
 8.19596117138398e-01 -3.23794718663039e-03
 8.00125009862562e-01 -6.46134958446314e-03
 7.80893595033963e-01 -1.03039299796073e-02
 7.61934127240714e-01 -1.47551455204340e-02
 7.43247394507467e-01 -1.96889245411311e-02
 7.24830519321176e-01 -2.50047425063960e-02
 7.06687563684635e-01 -3.06471241983735e-02
 6.88811192758450e-01 -3.65368554311866e-02
 6.71198230743311e-01 -4.26190123677427e-02
 6.53836455663917e-01 -4.88216513257277e-02
 6.36709392251645e-01 -5.50686914743673e-02
 6.19805821150194e-01 -6.13040858915206e-02
 6.03110638840182e-01 -6.74641903603385e-02
 5.86616198014850e-01 -7.35074055946942e-02
 5.70306732260229e-01 -7.93698805695882e-02
 5.54179898486472e-01 -8.50242422448361e-02
 5.38229405247069e-01 -9.04301624121945e-02
 5.22455972475872e-01 -9.55670223665084e-02
 5.06860455898852e-01 -1.00412236844465e-01
 4.91441224001809e-01 -1.04933726283356e-01
 4.76205068589523e-01 -1.09122935851297e-01
 4.61158943244570e-01 -1.12995160058627e-01
 4.46307544797505e-01 -1.16528615124872e-01
 4.31661931225828e-01 -1.19729938297379e-01
 4.17227267035319e-01 -1.22586229557773e-01
 4.03017612786043e-01 -1.25133771538815e-01
 3.89033538997374e-01 -1.27338177046061e-01
 3.75287996415094e-01 -1.29223727478045e-01
 3.61785757435673e-01 -1.30793028730852e-01
 3.48533228488455e-01 -1.32058237785480e-01
 3.35538207080681e-01 -1.33042125850892e-01
 3.22805116491218e-01 -1.33750981259899e-01
 3.10339208944695e-01 -1.34190414253126e-01
 2.98144285694023e-01 -1.34377430674416e-01
 2.86224231927169e-01 -1.34324850861468e-01
 2.74581761278459e-01 -1.34034434068693e-01
 2.63219301268627e-01 -1.33519364688348e-01
 2.52138016473758e-01 -1.32808156075385e-01
 2.41339961285101e-01 -1.31887523605449e-01
 2.30824856926105e-01 -1.30784513324658e-01
 2.20594408549311e-01 -1.29495149269052e-01
 2.10646103430833e-01 -1.28048089844224e-01
 2.00981528508767e-01 -1.26434606621974e-01
 1.91599001998060e-01 -1.24670142830059e-01
 1.82496881749703e-01 -1.22764249295001e-01
 1.73674397950312e-01 -1.20724923812467e-01
 1.65128574264460e-01 -1.18562162560800e-01
 1.56854982608789e-01 -1.16293307759768e-01
 1.48850860546080e-01 -1.13925941837336e-01
 1.41112773509431e-01 -1.11468413468032e-01
 1.33639611734093e-01 -1.08922003172823e-01
 1.26423605937838e-01 -1.06305750912800e-01
 1.19461417684272e-01 -1.03625830750613e-01
 1.12750604901136e-01 -1.00883579141837e-01
 1.06283259438121e-01 -9.80952509702634e-02
 1.00055844013107e-01 -9.52639758962201e-02
 9.40580582655814e-02 -9.24082958456014e-02
 8.82921179575979e-02 -8.95200628908756e-02
 8.27506808768345e-02 -8.66081435446808e-02
 7.74247849365693e-02 -8.36846256967547e-02
 7.23159379024068e-02 -8.07437232369635e-02
 6.74151586064464e-02 -7.77973967516086e-02
 6.27168945831801e-02 -7.48491812336852e-02
 5.82212937979340e-02 -7.18954477712334e-02
 5.39179106636444e-02 -6.89500410678130e-02
 4.97968248949051e-02 -6.60201641574240e-02
 4.58404510599757e-02 -6.31279208513800e-02
 4.20545414792718e-02 -6.02612006251028e-02
 3.84417566567697e-02 -5.74093583908551e-02
 3.50017220612238e-02 -5.45739975201165e-02
 3.17266875140807e-02 -5.17560828066719e-02
 2.86215946740773e-02 -4.89544692333240e-02
 2.56758132008680e-02 -4.61704391738637e-02
 2.28970223966535e-02 -4.34030836396474e-02
 2.02758195769849e-02 -4.06520531589364e-02
 1.78118112660182e-02 -3.79219729954976e-02
 1.54921161245258e-02 -3.52207727721377e-02
 1.33190678210211e-02 -3.25429683676540e-02
 1.13340863917543e-02 -2.98720394466720e-02
 9.50111979968901e-03 -2.72091317520697e-02
 7.83602637146529e-03 -2.45669913484797e-02
 6.32894986049402e-03 -2.19531351509474e-02
 4.94569404996033e-03 -1.93660097260315e-02
 3.75026520583887e-03 -1.68090327817608e-02
 2.71528714133931e-03 -1.42806393681295e-02
 1.77740004014325e-03 -1.17809635382660e-02
 1.07429372251138e-03 -9.32456086476746e-03
 6.52381675355766e-04 -6.91618971766583e-03
 3.11399483151242e-04 -4.54391023617881e-03
 7.87895515470547e-05 -2.23110901507447e-03
 0.00000000000000e+00  0.00000000000000e+00
 7.05652031603111e-05  2.22972626084877e-03
 2.47991539657272e-04  4.54129767857625e-03
 4.98441186356559e-04  6.91805078886363e-03
 8.11269148901659e-04  9.35270157357209e-03
 1.32067387432911e-03  1.18556345986879e-02
 1.98938537700819e-03  1.44183003521001e-02
 2.74524965862655e-03  1.70273248435638e-02
 3.66968812515182e-03  1.96891285103928e-02
 4.76255574769802e-03  2.23949927142740e-02
 5.98812196742706e-03  2.51289201599018e-02
 7.41181061068673e-03  2.78926516122752e-02
 8.99398222444190e-03  3.06876751011887e-02
 1.07141999440676e-02  3.35144074997380e-02
 1.26068027721973e-02  3.63698037912200e-02
 1.46488169395614e-02  3.92482602156739e-02
 1.68658366699414e-02  4.21492915618758e-02
 1.92470749017718e-02  4.50645952459087e-02
 2.18090059820954e-02  4.79914155984636e-02
 2.45446303847910e-02  5.09260800414868e-02
 2.74712150686853e-02  5.38564560880468e-02
 3.05474768820111e-02  5.68246118137319e-02
 3.37536144754375e-02  5.98538998192558e-02
 3.71317396068463e-02  6.28988210978408e-02
 4.06994025351171e-02  6.59497955168602e-02
 4.44656450100466e-02  6.89867255682008e-02
 4.84389760384534e-02  7.20089434464776e-02
 5.26084709710349e-02  7.50244047004206e-02
 5.69821166562091e-02  7.80251196198158e-02
 6.15663063194496e-02  8.10063887473733e-02
 6.63581011336126e-02  8.39698326406502e-02
 7.13644502076182e-02  8.69081338397317e-02
 7.65909724289905e-02  8.98159507605054e-02
 8.20352766725511e-02  9.26975455447718e-02
 8.77080787821308e-02  9.55341182506820e-02
 9.36109684447016e-02  9.83276322978747e-02
 9.97438579708105e-02  1.01080221719266e-01
 1.06119051994879e-01  1.03767194067634e-01
 1.12734290919031e-01  1.06395055628617e-01
 1.19593183897333e-01  1.08958542539302e-01
 1.26700823093365e-01  1.11446364941226e-01
 1.34061532505670e-01  1.13848673337066e-01
 1.41676418799567e-01  1.16165456892240e-01
 1.49548148226308e-01  1.18389462036138e-01
 1.57683078591512e-01  1.20499852626123e-01
 1.66082059799524e-01  1.22495214771528e-01
 1.74745051944839e-01  1.24375575732057e-01
 1.83674074223256e-01  1.26134619747511e-01
 1.92872357800588e-01  1.27755831983017e-01
 2.02341318721984e-01  1.29229089696751e-01
 2.12080298953780e-01  1.30556915140141e-01
 2.22091498531446e-01  1.31722612278290e-01
 2.32372543959271e-01  1.32741704756109e-01
 2.42923733837198e-01  1.33612310720813e-01
 2.53746510979770e-01  1.34308014426742e-01
 2.64840018476361e-01  1.34835339489339e-01
 2.76203677302187e-01  1.35189990370560e-01
 2.87836734966687e-01  1.35357641309461e-01
 2.99738243288268e-01  1.35357569299632e-01
 3.11906703525746e-01  1.35163586343624e-01
 3.24341555624041e-01  1.34798766201138e-01
 3.37040761217429e-01  1.34248475556020e-01
 3.50002822652969e-01  1.33511352384135e-01
 3.63225941202268e-01  1.32589427001590e-01
 3.76708446945354e-01  1.31487581598021e-01
 3.90448516333984e-01  1.30207420915098e-01
 4.04443748722128e-01  1.28749207957692e-01
 4.18691370419702e-01  1.27112336023783e-01
 4.33189002181849e-01  1.25294293891160e-01
 4.47932829409199e-01  1.23296169909435e-01
 4.62922031164274e-01  1.21145422423926e-01
 4.78150349434332e-01  1.18814703970045e-01
 4.93616102086298e-01  1.16321883543055e-01
 5.09314140098812e-01  1.13663303445279e-01
 5.25244018770514e-01  1.10864437719318e-01
 5.41398383631629e-01  1.07912356591031e-01
 5.57773101022465e-01  1.04814969652829e-01
 5.74364377896683e-01  1.01583151067738e-01
 5.91167367613819e-01  9.82241596712969e-02
 6.08172761709761e-01  9.47250853874794e-02
 6.25378228707585e-01  9.11094357580161e-02
 6.42776269156104e-01  8.73769858383191e-02
 6.60362181098430e-01  8.35426561196217e-02
 6.78125718177168e-01  7.95975541833193e-02
 6.96064069920688e-01  7.55683515766080e-02
 7.14167212095776e-01  7.14506203799627e-02
 7.32428866595293e-01  6.72584717200024e-02
 7.50841297926727e-01  6.30009424299605e-02
 7.69397922982154e-01  5.86935787627263e-02
 7.88091135547559e-01  5.43488412336919e-02
 8.06909702919644e-01  4.99650104077395e-02
 8.25846704120423e-01  4.55602802628784e-02
 8.44895023833968e-01  4.11532792945860e-02
