                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.250000       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -1.86921742785889e-01
 9.81177563149217e-01 -1.81569943052985e-01
 9.62084340642947e-01 -1.78004842900963e-01
 9.42995394607218e-01 -1.75898994322523e-01
 9.23905734998609e-01 -1.75447123482761e-01
 9.05012324747621e-01 -1.79200811167457e-01
 8.86399181747856e-01 -1.83625681767767e-01
 8.68151902825924e-01 -1.88848721700038e-01
 8.50187788190644e-01 -1.94789851103084e-01
 8.31932087591661e-01 -2.01415827199457e-01
 8.13961385895121e-01 -2.08729810895648e-01
 7.96276866250570e-01 -2.16594160611530e-01
 7.78888919081513e-01 -2.24984701217981e-01
 7.61770616711335e-01 -2.33505757656263e-01
 7.44984530104731e-01 -2.41769096979227e-01
 7.28557894167548e-01 -2.50679523712389e-01
 7.12353192862352e-01 -2.59904578945328e-01
 6.96328131659442e-01 -2.69264408481018e-01
 6.80620877129699e-01 -2.78956950017027e-01
 6.65036649030668e-01 -2.88679536018467e-01
 6.49606687330613e-01 -2.98453329345971e-01
 6.34214568696656e-01 -3.08038513323252e-01
 6.19004449205478e-01 -3.17617481127151e-01
 6.03779330542124e-01 -3.26975613022197e-01
 5.88589889817229e-01 -3.36080335356850e-01
 5.73403049789207e-01 -3.44949650012741e-01
 5.58237418160063e-01 -3.53470289003418e-01
 5.43001733122046e-01 -3.61625512660729e-01
 5.27724715437450e-01 -3.69265305911835e-01
 5.12436853154968e-01 -3.76516766394710e-01
 4.96546295996811e-01 -3.83205474945326e-01
 4.80574095414328e-01 -3.89563306506547e-01
 4.64488524759761e-01 -3.94910450633887e-01
 4.48489615799999e-01 -3.99841806058933e-01
 4.32488563881572e-01 -4.04071623836666e-01
 4.16527221951966e-01 -4.07626356491112e-01
 4.00562107552466e-01 -4.10249741043570e-01
 3.84727914237284e-01 -4.12427376634268e-01
 3.68966986498795e-01 -4.13514394213529e-01
 3.53382755770392e-01 -4.14154114450451e-01
 3.37941988192988e-01 -4.14002645828740e-01
 3.22735252309505e-01 -4.13003239667129e-01
 3.07767382365399e-01 -4.11476178258997e-01
 2.93067917227832e-01 -4.09187313748991e-01
 2.78654109581655e-01 -4.06418917683209e-01
 2.64604738289909e-01 -4.02830848959282e-01
 2.50871309248290e-01 -3.98869801506720e-01
 2.37564968670049e-01 -3.94169211144206e-01
 2.24594438408676e-01 -3.89127413103187e-01
 2.12055040256200e-01 -3.83506637286838e-01
 1.99861148168818e-01 -3.77678580304481e-01
 1.88142380726197e-01 -3.71282785998961e-01
 1.76859463641545e-01 -3.64549744754177e-01
 1.65905249960911e-01 -3.57646750267926e-01
 1.55537227887359e-01 -3.50175391222167e-01
 1.45431669048253e-01 -3.42738331001519e-01
 1.35883862302555e-01 -3.34826129000789e-01
 1.26675392330953e-01 -3.26855785142133e-01
 1.17950355121038e-01 -3.18619026631908e-01
 1.09593757974276e-01 -3.10256644834772e-01
 1.01733992918521e-01 -3.01677842006347e-01
 9.41636179725902e-02 -2.93105670394185e-01
 8.71068349374318e-02 -2.84314667348787e-01
 8.04116974188302e-02 -2.75483703165200e-01
 7.40870532663348e-02 -2.66611337952136e-01
 6.81473204355554e-02 -2.57673919833894e-01
 6.26213505529098e-02 -2.48685936453782e-01
 5.73566865694174e-02 -2.39721525327805e-01
 5.22806807441744e-02 -2.30757833129553e-01
 4.74837495225500e-02 -2.21846836484299e-01
 4.29791345090864e-02 -2.12980747949758e-01
 3.88459355057754e-02 -2.04134477516822e-01
 3.50593346409323e-02 -1.95325424322854e-01
 3.14609987519200e-02 -1.86624418305558e-01
 2.81356515835125e-02 -1.77991987141442e-01
 2.50678080398550e-02 -1.69447514071793e-01
 2.22805622849264e-02 -1.60978432220081e-01
 1.97523509295538e-02 -1.52602262236290e-01
 1.74366780436635e-02 -1.44335838422217e-01
 1.53289840712821e-02 -1.36175018686508e-01
 1.33547081399754e-02 -1.28142776548486e-01
 1.15932042703551e-02 -1.20220775787943e-01
 9.98014513518313e-03 -1.12424314101736e-01
 8.48156800451171e-03 -1.04756958848140e-01
 7.13092793392556e-03 -9.72166170230628e-02
 5.96485625374861e-03 -8.97931357206096e-02
 4.93640214020373e-03 -8.24993533622707e-02
 4.05813679921678e-03 -7.53339111393095e-02
 3.39305744716697e-03 -6.82962766902730e-02
 2.84628004707506e-03 -6.13937979359125e-02
 2.33070901253902e-03 -5.46389639557939e-02
 1.90484741069852e-03 -4.80284276533105e-02
 1.53319925355465e-03 -4.15705612434492e-02
 1.19217374457438e-03 -3.52780011579932e-02
 8.87750502946227e-04 -2.91666427493024e-02
 6.48589384750754e-04 -2.32666036228989e-02
 4.53870452744035e-04 -1.72582512013166e-02
 2.94845031789866e-04 -1.13551275313930e-02
 1.08050434597278e-04 -5.61773861221572e-03
 0.00000000000000e+00  0.00000000000000e+00
 8.90421860756972e-05  5.61642933795923e-03
 3.11300232913882e-04  1.13482071797200e-02
 5.97040498318276e-04  1.71951459324293e-02
 8.93974495072712e-04  2.31623466399844e-02
 1.27829655914660e-03  2.92474518563630e-02
 1.70046365160838e-03  3.54551464486059e-02
 2.08013720545486e-03  4.17912629961293e-02
 2.48304693219490e-03  4.82543769768055e-02
 2.91255644501166e-03  5.48466439888386e-02
 3.36846173349957e-03  6.15697831257074e-02
 3.88797077827457e-03  6.84229969696056e-02
 4.47548255109946e-03  7.54058227871263e-02
 5.23701856723221e-03  8.25094178315832e-02
 6.15350086846060e-03  8.97353004717168e-02
 7.20788009246268e-03  9.70856349055163e-02
 8.41332841518810e-03  1.04555397320246e-01
 9.78520973259345e-03  1.12145050836814e-01
 1.12734283448900e-02  1.19864558857336e-01
 1.29300740136784e-02  1.27700220388272e-01
 1.47785858342528e-02  1.35646698767743e-01
 1.67503643657026e-02  1.43716556755663e-01
 1.88869121561462e-02  1.51906469822904e-01
 2.11682911644532e-02  1.60222637821125e-01
 2.36596257396006e-02  1.68630971240969e-01
 2.63637116615930e-02  1.77138291141699e-01
 2.92550510252725e-02  1.85754079288772e-01
 3.24327093137156e-02  1.94437614130276e-01
 3.57751853646236e-02  2.03237192752541e-01
 3.93363710438031e-02  2.12123296154639e-01
 4.33327794301952e-02  2.20993540345402e-01
 4.74797339462906e-02  2.29975208477421e-01
 5.19424245445109e-02  2.38996646834423e-01
 5.67100653484249e-02  2.48045692819188e-01
 6.17943127299240e-02  2.57108046631991e-01
 6.71932228566773e-02  2.66187669980888e-01
 7.30078537497520e-02  2.75190422472599e-01
 7.92275730140881e-02  2.84130459592436e-01
 8.57211296601629e-02  2.93076037241525e-01
 9.26619540699818e-02  3.01922171798829e-01
 1.00030961913866e-01  3.10647094107019e-01
 1.07774168920736e-01  3.19259931046252e-01
 1.15984653041221e-01  3.27745413627026e-01
 1.24577714815368e-01  3.36181481305575e-01
 1.33637644741743e-01  3.44365196545353e-01
 1.43162167059821e-01  3.52273677551393e-01
 1.53106636334187e-01  3.59931850317684e-01
 1.63495915074937e-01  3.67297394048278e-01
 1.74365238142484e-01  3.74258256454680e-01
 1.85730416056245e-01  3.80767733431891e-01
 1.97566729913117e-01  3.86776553436319e-01
 2.09769098162379e-01  3.92466674257196e-01
 2.22398845557092e-01  3.97636485200269e-01
 2.35436140705146e-01  4.02312808860570e-01
 2.48843524010616e-01  4.06429737736794e-01
 2.62597124167412e-01  4.10003658981656e-01
 2.76658382092721e-01  4.13121830250655e-01
 2.91047524522046e-01  4.15482020439687e-01
 3.05682435399255e-01  4.17432386302018e-01
 3.20578536714552e-01  4.18652711901525e-01
 3.35689303934093e-01  4.19529434306854e-01
 3.50996287226398e-01  4.19560764936580e-01
 3.66476535046452e-01  4.19349108339872e-01
 3.82123981279698e-01  4.18479741218681e-01
 3.97883297811857e-01  4.17016983300029e-01
 4.13788761595830e-01  4.15202693757447e-01
 4.29791321953755e-01  4.12842907127207e-01
 4.45918650808194e-01  4.10079150688423e-01
 4.62108764629744e-01  4.06778172764217e-01
 4.78415092057690e-01  4.03170320986750e-01
 4.94801210966373e-01  3.99134068896345e-01
 5.11307516153601e-01  3.94808469918132e-01
 5.27908787029916e-01  3.90123987781677e-01
 5.44343752982970e-01  3.85250997552305e-01
 5.60478714210033e-01  3.80056897987754e-01
 5.76759778999152e-01  3.74871702588974e-01
 5.93051017337856e-01  3.69305599525504e-01
 6.09434000144486e-01  3.63674084760110e-01
 6.25918983067105e-01  3.57982032600271e-01
 6.42447053501677e-01  3.52090311168545e-01
 6.59012474163635e-01  3.46158156746512e-01
 6.75704468825017e-01  3.39835078133779e-01
 6.92461680230657e-01  3.32846768524655e-01
 7.09286468057306e-01  3.25742989886752e-01
 7.26138664039390e-01  3.18429084244953e-01
 7.43081955516276e-01  3.11047234622737e-01
 7.60068342781333e-01  3.03489915090879e-01
 7.77111596670734e-01  2.95801678526259e-01
 7.94214983252471e-01  2.88024635657619e-01
 8.11326554409647e-01  2.80022516181129e-01
 8.28509080486550e-01  2.71956687607903e-01
 8.45663096649675e-01  2.63559646522259e-01
