                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.250000       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -1.24462307483833e-01
 9.82471442843145e-01 -1.21062059223365e-01
 9.64708282810537e-01 -1.18680234618562e-01
 9.46860273695417e-01 -1.17259963002893e-01
 9.29069915181365e-01 -1.16909175626463e-01
 9.11469151941127e-01 -1.19263123076065e-01
 8.94050000742990e-01 -1.22548599817135e-01
 8.76836805353594e-01 -1.26663021824562e-01
 8.59830665584370e-01 -1.31442352407340e-01
 8.43069462223516e-01 -1.36892826453422e-01
 8.26506779277698e-01 -1.42784322376046e-01
 8.10137368783942e-01 -1.49049514942552e-01
 7.93945134146783e-01 -1.55607560799893e-01
 7.77992653274844e-01 -1.62565015203766e-01
 7.62235709953008e-01 -1.69789738314535e-01
 7.46598892003979e-01 -1.77087665110937e-01
 7.31107931594984e-01 -1.84500103395010e-01
 7.15749716468165e-01 -1.91986079484901e-01
 7.00501148583940e-01 -1.99480390187140e-01
 6.85304516779074e-01 -2.06856811633688e-01
 6.70149472716485e-01 -2.14080066623192e-01
 6.55121019813885e-01 -2.21324408899689e-01
 6.40089751876696e-01 -2.28297995953864e-01
 6.25074550243138e-01 -2.35027593790716e-01
 6.10106977749403e-01 -2.41575387342385e-01
 5.95143767322072e-01 -2.47819893750102e-01
 5.80210034574543e-01 -2.53798327957046e-01
 5.65327989220286e-01 -2.59562813786383e-01
 5.50409793219657e-01 -2.64840357021798e-01
 5.35594094872013e-01 -2.70009907805968e-01
 5.20713461536112e-01 -2.74504146465157e-01
 5.05993674145847e-01 -2.80705348859586e-01
 4.91212909568126e-01 -2.86268228262995e-01
 4.76531807099332e-01 -2.91107346442163e-01
 4.61858768644475e-01 -2.94967881373295e-01
 4.47309333007367e-01 -2.98546636104264e-01
 4.32817581704073e-01 -3.01325623073511e-01
 4.18445125580623e-01 -3.03846596414829e-01
 4.04161105664438e-01 -3.05555293513969e-01
 3.90022881343625e-01 -3.07047061911011e-01
 3.76017722149992e-01 -3.07969491941149e-01
 3.62169837745615e-01 -3.08369786466823e-01
 3.48486269120844e-01 -3.08448287022308e-01
 3.34995262249379e-01 -3.07882649331920e-01
 3.21673748899271e-01 -3.07234723742395e-01
 3.08576606499598e-01 -3.05885806318767e-01
 2.95697360585520e-01 -3.04199320194917e-01
 2.83039321633362e-01 -3.02098145823526e-01
 2.70594359780173e-01 -2.99740085846577e-01
 2.58406527764470e-01 -2.96975075526494e-01
 2.46476363426186e-01 -2.93888768960802e-01
 2.34771912673151e-01 -2.90515429239033e-01
 2.23390978232125e-01 -2.86714065101413e-01
 2.12199004146546e-01 -2.82837544632727e-01
 2.01346629337762e-01 -2.78480798420657e-01
 1.90724199030947e-01 -2.74049833555251e-01
 1.80389482399542e-01 -2.69285405582148e-01
 1.70359964507014e-01 -2.64319366308241e-01
 1.60635291767916e-01 -2.59081477928399e-01
 1.51180568949173e-01 -2.53679865073238e-01
 1.42004056577847e-01 -2.48105609908173e-01
 1.33171888741113e-01 -2.42330457340997e-01
 1.24637730697656e-01 -2.36356887882696e-01
 1.16362516188865e-01 -2.30294402849808e-01
 1.08482706557384e-01 -2.24010450761741e-01
 1.00877275851100e-01 -2.17614025049531e-01
 9.35732689261226e-02 -2.11108276426463e-01
 8.66000457310616e-02 -2.04492306953867e-01
 7.99359286378168e-02 -1.97777969191864e-01
 7.35913685236382e-02 -1.90983521972806e-01
 6.75790587348355e-02 -1.84110330237471e-01
 6.18937879437417e-02 -1.77164171684737e-01
 5.65195482142466e-02 -1.70166797614261e-01
 5.14419912507375e-02 -1.63153160268531e-01
 4.66174083601502e-02 -1.56147742013888e-01
 4.20540610841044e-02 -1.49157031081190e-01
 3.78316481787116e-02 -1.42143223882854e-01
 3.38978689654050e-02 -1.35134991018247e-01
 3.02317597977834e-02 -1.28153480512308e-01
 2.68240074461310e-02 -1.21210115683655e-01
 2.36927077707813e-02 -1.14311454791288e-01
 2.08227189244110e-02 -1.07457300834782e-01
 1.81605391598366e-02 -1.00675350018153e-01
 1.57058582256733e-02 -9.39733617602559e-02
 1.34587169873147e-02 -8.73478935927560e-02
 1.14159291580332e-02 -8.08041653832431e-02
 9.55364210940545e-03 -7.43471866259531e-02
 7.95473521690218e-03 -6.79691029507295e-02
 6.57897177115976e-03 -6.16692834663321e-02
 5.38552708470033e-03 -5.54694006202184e-02
 4.34371969373870e-03 -4.93727911252703e-02
 3.44912801599860e-03 -4.33843378301480e-02
 2.67664953678228e-03 -3.75034086187219e-02
 2.03685182840638e-03 -3.17331184482114e-02
 1.49669774658893e-03 -2.61067098987846e-02
 1.05016027334672e-03 -2.06657145802949e-02
 6.71776113964238e-04 -1.53328117010733e-02
 3.83461924091180e-04 -1.01129321881844e-02
 1.26109772311008e-04 -5.00320849358413e-03
 0.00000000000000e+00  0.00000000000000e+00
 1.02208013990843e-04  5.50238407366878e-03
 3.49588541568631e-04  1.07914954262022e-02
 6.64214466091155e-04  1.61351833693988e-02
 1.13201240760039e-03  2.15705690908537e-02
 1.63857759268521e-03  2.71102877394415e-02
 2.18158811756709e-03  3.27590371681901e-02
 2.78132647369323e-03  3.85189475870451e-02
 3.44120738956528e-03  4.43929074194587e-02
 4.19694484292565e-03  5.03758591494367e-02
 5.08117681438330e-03  5.64687763711966e-02
 6.11991304004612e-03  6.26631743452020e-02
 7.36265136060150e-03  6.89553804500278e-02
 8.82649146661967e-03  7.53265704858359e-02
 1.05639482677377e-02  8.17738810767527e-02
 1.24675135464106e-02  8.83125410563710e-02
 1.45451010255433e-02  9.49405251664757e-02
 1.68124768702924e-02  1.01649447569077e-01
 1.92775660203123e-02  1.08442219943393e-01
 2.19308058546294e-02  1.15314723766016e-01
 2.48261002530603e-02  1.22239933544324e-01
 2.79987869403736e-02  1.29210839524155e-01
 3.14155063094361e-02  1.36229996604068e-01
 3.50607116459803e-02  1.43310833642898e-01
 3.89046835943492e-02  1.50443835315971e-01
 4.30860151471799e-02  1.57559208192702e-01
 4.75780292352885e-02  1.64681500345818e-01
 5.23195702690031e-02  1.71817584570307e-01
 5.73382981252277e-02  1.78956608852764e-01
 6.26239502368175e-02  1.86103378602308e-01
 6.82082639140720e-02  1.93187793773041e-01
 7.42155086552181e-02  2.00150067665928e-01
 8.05419459032591e-02  2.07047643035945e-01
 8.71492985766191e-02  2.13893117576402e-01
 9.40463044758985e-02  2.20652570860729e-01
 1.01355349796185e-01  2.27236370122953e-01
 1.08923512412239e-01  2.33731407959944e-01
 1.16841668215709e-01  2.40048890381209e-01
 1.25089001847522e-01  2.46209217735577e-01
 1.33631611126480e-01  2.52227616824254e-01
 1.42490952811209e-01  2.58058733347904e-01
 1.51630014960854e-01  2.63715607145534e-01
 1.61146673389300e-01  2.69047905345506e-01
 1.70973465899274e-01  2.74147973031910e-01
 1.81074879552507e-01  2.79039334626147e-01
 1.91449730286935e-01  2.83686370535364e-01
 2.02146290609104e-01  2.87974846929682e-01
 2.13138450857572e-01  2.91959311878853e-01
 2.24372447916689e-01  2.95681281599327e-01
 2.35887603136812e-01  2.99035728942913e-01
 2.47658378412107e-01  3.02031584394983e-01
 2.59684339446480e-01  3.04677325436273e-01
 2.71934958703321e-01  3.07013777270624e-01
 2.84419881555938e-01  3.08963949749143e-01
 2.97109613437072e-01  3.10619054734014e-01
 3.10010935874826e-01  3.11859478383750e-01
 3.23119894232677e-01  3.12678281325061e-01
 3.36407012423806e-01  3.13156959101112e-01
 3.49864493940296e-01  3.13417436770163e-01
 3.63499163628265e-01  3.13087542567136e-01
 3.77292660760408e-01  3.12644538322626e-01
 3.91234994180775e-01  3.11692432642021e-01
 4.05328179484942e-01  3.10508292847629e-01
 4.19547920000231e-01  3.08868567058044e-01
 4.33897326291088e-01  3.06874955236893e-01
 4.48369054027604e-01  3.04555496276077e-01
 4.62963802304546e-01  3.01898461609452e-01
 4.77666167531380e-01  2.98864055837382e-01
 4.92467122905775e-01  2.95361923607518e-01
 5.07371781676333e-01  2.91411940790617e-01
 5.22362441189367e-01  2.86777146758123e-01
 5.37441880493481e-01  2.81896614263589e-01
 5.52642071373773e-01  2.78495815708573e-01
 5.67905591386749e-01  2.74785567021944e-01
 5.83270059168453e-01  2.70946951481030e-01
 5.98706779587640e-01  2.66885165701076e-01
 6.14247267940717e-01  2.62743738486296e-01
 6.29831759914864e-01  2.58319991266586e-01
 6.45507839767082e-01  2.53799020524515e-01
 6.61262644724820e-01  2.49156535951345e-01
 6.77062629040689e-01  2.44297734703873e-01
 6.92908226101925e-01  2.39242952704181e-01
 7.08839578965734e-01  2.34137305563043e-01
 7.24839427226018e-01  2.28942528386810e-01
 7.40876042888084e-01  2.23577917554253e-01
 7.56949761579042e-01  2.18061719779403e-01
 7.73085699072717e-01  2.12485691137036e-01
 7.89232785242983e-01  2.06717712925483e-01
 8.05426231263856e-01  2.00875828628839e-01
 8.21682628278855e-01  1.95020263177957e-01
 8.37897896225488e-01  1.88885492899203e-01
 8.54178350325177e-01  1.82770849953741e-01
