   3.0000000e+00  -4.4423068e-01  -9.6032142e-01   1.5201932e-01   2.3055168e-01   5.9778362e-01
   4.0000000e+00  -7.3755896e-01  -1.4262994e+00  -1.0619317e-01   2.1522636e-01   6.6422218e-01
   5.0000000e+00  -1.1535900e+00  -2.2282355e+00  -3.9690880e-01   2.8562084e-01   9.2057703e-01
   6.0000000e+00  -1.6203557e+00  -3.3031756e+00  -7.4888465e-01   4.5926440e-01   1.3166885e+00
   7.0000000e+00  -2.2661578e+00  -4.3575147e+00  -1.0416542e+00   6.2494313e-01   1.7300029e+00
   8.0000000e+00  -3.0742441e+00  -5.6851094e+00  -1.3742163e+00   8.0173512e-01   2.2747934e+00
   9.0000000e+00  -3.5527541e+00  -6.3963130e+00  -1.6949718e+00   8.7170394e-01   2.5302352e+00
   1.0000000e+01  -3.9321522e+00  -6.8087752e+00  -1.9457500e+00   8.9355728e-01   2.6257743e+00
   1.1000000e+01  -4.1715889e+00  -7.1760302e+00  -2.1804759e+00   8.7658186e-01   2.7255018e+00
   1.2000000e+01  -4.1162467e+00  -7.2740392e+00  -2.3996797e+00   7.9402597e-01   2.6438000e+00
   1.3000000e+01  -3.9027958e+00  -6.4413120e+00  -2.3302382e+00   6.5819927e-01   2.2368668e+00
   1.4000000e+01  -3.7628659e+00  -6.3225245e+00  -2.1917033e+00   6.0906428e-01   2.1813916e+00
   1.5000000e+01  -3.5944495e+00  -5.8616480e+00  -1.7349757e+00   5.3238474e-01   2.1145145e+00
   1.6000000e+01  -3.4677390e+00  -5.5662436e+00  -1.2891571e+00   5.0958524e-01   2.1877749e+00
   1.7000000e+01  -3.3898820e+00  -5.3108924e+00  -1.0879962e+00   4.9625034e-01   2.1652950e+00
   1.8000000e+01  -3.2775975e+00  -5.1866489e+00  -7.7665144e-01   5.1618737e-01   2.3041004e+00
   1.9000000e+01  -3.1809500e+00  -5.1925422e+00  -3.6650076e-01   5.5220977e-01   2.5178113e+00
   2.0000000e+01  -3.0792516e+00  -5.1013725e+00  -1.8923233e-05   5.9283512e-01   2.6901039e+00
   2.1000000e+01  -2.9848376e+00  -5.2599538e+00   4.0982249e-01   6.4268626e-01   2.9797572e+00
   2.2000000e+01  -2.8748590e+00  -5.3260854e+00   8.5659704e-01   7.0773647e-01   3.2883986e+00
   2.3000000e+01  -2.7712429e+00  -5.4403982e+00   1.3330782e+00   7.7926860e-01   3.5723673e+00
   2.4000000e+01  -2.6696339e+00  -5.6492817e+00   1.6620932e+00   8.4136643e-01   3.8515119e+00
   2.5000000e+01  -2.5505864e+00  -5.7749956e+00   2.0819809e+00   8.9896303e-01   4.1137216e+00
